Time,accX,accY,accZ
1503530534104,0.19155884,-0.21850586,9.135757
1503530534114,0.20822144,-0.23516846,9.102432
1503530534123,0.16775513,-0.25421143,9.133377
1503530534133,0.15109253,-0.26849365,9.100052
1503530534144,0.17251587,-0.23040771,9.08815
1503530534153,0.15823364,-0.21612549,9.130997
1503530534163,0.12490845,-0.25183105,9.092911
1503530534173,0.1867981,-0.23754883,9.130997
1503530534183,0.15109253,-0.22088623,9.130997
1503530534193,0.19631958,-0.19946289,9.100052
1503530534203,0.17251587,-0.19470215,9.130997
1503530534212,0.20584106,-0.22802734,9.09053
1503530534222,0.19155884,-0.23516846,9.0976715
1503530534231,0.20108032,-0.16137695,9.1548
1503530534242,0.17251587,-0.23754883,9.138138
1503530534252,0.13442993,-0.19946289,9.08577
1503530534262,0.1867981,-0.20898438,9.1167145
1503530534271,0.19869995,-0.1899414,9.128616
1503530534281,0.15585327,-0.25183105,9.09053
1503530534291,0.12490845,-0.1899414,9.161942
1503530534301,0.16775513,-0.23754883,9.130997
1503530534311,0.17251587,-0.23754883,9.104813
1503530534320,0.14395142,-0.16137695,9.095291
1503530534330,0.19631958,-0.16375732,9.095291
1503530534340,0.16061401,-0.20184326,9.121475
1503530534350,0.16299438,-0.19470215,9.035782
1503530534360,0.20108032,-0.21136475,9.107193
1503530534369,0.2106018,-0.206604,9.178604
1503530534380,0.22964478,-0.22564697,9.102432
1503530534389,0.18917847,-0.26849365,9.145279
1503530534399,0.16537476,-0.22564697,9.016739
1503530534409,0.1534729,-0.2399292,9.161942
1503530534419,0.16299438,-0.22564697,9.126236
1503530534429,0.2034607,-0.21374512,9.15004
1503530534439,0.17489624,-0.23278809,9.147659
1503530534449,0.16537476,-0.22564697,9.130997
1503530534458,0.17727661,-0.18041992,9.1167145
1503530534469,0.20584106,-0.21612549,9.102432
1503530534479,0.18441772,-0.21850586,9.161942
1503530534488,0.16537476,-0.22088623,9.107193
1503530534498,0.1867981,-0.22802734,9.054825
